"","x"
"hyper",1.06935466770695
"49",1.00053466359438
"21",1.00054513141624
"53",1.00093290389486
"19",1.00110029700859
"16",1.00117407506393
"10",1.00124203080749
"5",1.00140452297106
"17",1.00151232854916
"1",1.00195338376512
"51",1.00212181749519
"63",1.0022820517508
"13",1.00238325893651
"38",1.00238670539564
"65",1.00246685937363
"48",1.0024669131589
"7",1.00264298575971
"50",1.00294417754173
"54",1.00304154647634
"14",1.0031129846608
"66",1.00315516607226
"36",1.00323536965574
"55",1.00342533448977
"9",1.00385726352342
"18",1.00398822770556
"12",1.00401777057401
"47",1.00426669663384
"22",1.00453443956842
"39",1.00553698184791
"41",1.00586595581998
"64",1.00597361220369
"45",1.00635157137736
"69",1.00678150865881
"4",1.00683033124498
"3",1.00704951446276
"6",1.00711231772327
"32",1.0071150033372
"70",1.00716461109313
"25",1.00737748145942
"20",1.00758673471533
"2",1.0084208923152
"24",1.01393844126174
"31",1.01396745865868
"40",1.01434557435088
"28",1.01459553543227
"27",1.01917269431472
"44",1.02061873147258
"11",1.02124090108285
"34",1.02540068493374
"58",1.02593553879633
"57",1.02724018934687
"67",1.02728102959987
"8",1.0295110118725
"15",1.03002107078841
"60",1.03263434595296
"61",1.03352752280083
"37",1.03432121393988
"46",1.04078573544971
"33",1.04481495815027
"56",1.04680509658664
"30",1.04851596185904
"62",1.05333636348183
"43",1.05894262302342
"26",1.05944694191626
"23",1.07023834633392
