,A,B.s1.easy,B.s2.easy,B.s1.hard,B.s2.hard,t0,mean_v.s1.easy.true,mean_v.s2.easy.true,mean_v.s1.hard.true,mean_v.s2.hard.true,mean_v.s1.easy.false,mean_v.s2.easy.false,mean_v.s1.hard.false,mean_v.s2.hard.false
1,2.49169331,1.357630102,1.091413886,1.275370253,1.207196004,0.347223689,2.309642728,2.945949022,2.665871358,3.151926305,0.554878747,0.016650743,0.871327022,0.032531762
2,5.772323167,1.195870076,1.091403694,1.468997384,1.209454143,0.307426413,2.118317101,2.604269808,2.027980897,3.054653572,0.740095635,0.016988574,0.470547068,0.033495009
3,3.085261939,1.73588689,1.090404666,1.473673397,1.216970466,0.296201226,2.325878098,2.805547508,2.443894688,3.142474356,0.45796458,0.016788044,0.676412857,0.032818702
4,1.353971539,1.012587723,1.09211199,1.077076401,1.202772763,0.228346126,2.406617367,2.612363573,2.161268882,3.05486242,0.493103881,0.01666876,0.802934543,0.033707398
5,5.31940232,1.671389593,1.09107753,1.403076041,1.210328495,0.236542396,2.134669092,3.027474416,1.839593602,3.086404627,1.749217595,0.016632199,0.638391439,0.032290153
6,5.685702407,1.697455573,1.091496064,1.271968079,1.224953073,0.442531025,2.090747573,2.592904743,2.177373552,2.990354028,1.064614023,0.016721748,0.387624553,0.033441167
7,3.403550067,1.360100418,1.091093251,1.224744266,1.207063137,0.177948444,1.706395912,2.872274463,1.637963199,3.083930276,1.110935737,0.017010515,0.835529308,0.032572963
8,6.404238466,1.563607655,1.091628283,1.238583458,1.221244736,0.473731426,1.766514573,2.409002164,2.06484366,2.702410248,1.020421498,0.01672228,0.705115467,0.032771085
9,2.673161503,1.971603092,1.090104904,1.629376898,1.227984302,0.424895057,2.711528447,2.808778867,1.945541415,2.774059147,0.277165611,0.016875547,0.340694411,0.033049021
10,4.093097434,1.706508757,1.090807696,1.57243797,1.214697437,0.373254941,2.545518908,2.932102793,2.622804877,3.094051764,0.307819891,0.016621833,0.397279637,0.03289915
11,5.96181976,1.616533582,1.091578596,1.554445018,1.205521552,0.401115696,2.220107781,2.888782828,2.086081757,2.970773868,0.490645881,0.016390586,0.825988827,0.032622765
12,3.77110253,1.510744193,1.091209041,1.549296546,1.195003675,0.314256666,2.395182923,2.927175911,1.725693291,3.118668826,0.364352071,0.016569884,0.422003844,0.033718418
13,3.876184145,1.666287126,1.090664408,1.128678232,1.225233814,0.250847186,2.27200134,2.938817399,1.99568876,3.073059932,0.604349505,0.01676922,0.831099519,0.032445392
14,4.60717045,1.772125745,1.091304001,1.415697136,1.194600439,0.356348922,2.453869169,2.923906295,1.672575081,3.252271676,0.657940884,0.016585416,0.717161373,0.033517933
15,6.261669595,1.484753452,1.091470191,1.114464069,1.229422479,0.310712612,2.445238976,2.913449415,2.362534086,2.843124376,0.436330124,0.016604114,0.52730078,0.032543597
16,4.298672078,1.384992277,1.0915391,0.943027216,1.225825494,0.226625538,2.316938581,3.03793661,1.980176253,3.030300121,0.808011633,0.016645404,0.617701602,0.032328178
17,4.327856133,1.885113751,1.090286094,1.493632235,1.218409978,0.282046877,2.132950807,2.856260829,2.130256221,3.087880662,0.430323217,0.01678704,0.833459487,0.032773412
18,1.382872201,1.753107707,1.090328947,1.316590602,1.207866699,0.276913182,2.85607912,2.742573743,2.061262035,3.150831881,0.476553013,0.016972489,0.719510313,0.032649324
19,3.768009323,1.206156653,1.090623722,1.404783172,1.229454679,0.224227998,3.139582938,2.821781377,2.694696891,3.093276695,0.364114208,0.016977731,0.352933901,0.032403689
20,5.631572271,1.723515743,1.091323262,1.394989505,1.205072482,0.345750847,2.320339583,2.734525425,2.066370678,3.247289105,0.484037171,0.016596466,0.488291156,0.032576643
21,4.707485605,1.553971288,1.091220866,1.512563405,1.202117565,0.349093976,2.414858491,2.794713177,2.519546994,3.168619663,0.467677728,0.016715121,0.444839401,0.032350351
22,1.862122383,1.706019003,1.090980065,1.333716905,1.204821583,0.187565788,2.092552401,2.712079207,1.81113545,3.117442421,1.380612847,0.016761406,0.58714582,0.0329015
23,4.171153589,1.459490582,1.091036132,1.481800705,1.210389148,0.479281785,2.511156428,2.877516825,2.392921526,3.139647264,0.525374507,0.016749184,0.39773221,0.032220919
24,6.053610598,1.566918774,1.091006136,1.551612549,1.235921148,0.38242598,2.72300517,2.633611968,2.453585302,2.92939065,0.201168464,0.016902075,0.310022178,0.03231071
25,2.498511656,1.672003908,1.091263368,1.535893529,1.177520774,0.197153837,2.201599177,2.834961167,1.899033461,3.319431004,1.037918745,0.016715246,0.735780387,0.033319135
26,3.2447279,1.816609217,1.090534662,1.541982664,1.200044112,0.309266402,2.700585543,2.825731648,2.25966201,3.25472279,0.391682163,0.016566531,0.536824,0.032706976
27,4.538998865,2.019079455,1.091248353,1.509905129,1.197753233,0.338094968,1.96361805,2.88152969,1.31163852,3.301089417,1.097628828,0.016650812,1.01444902,0.032953718
28,5.619244722,1.294917782,1.091646062,1.578932,1.215621247,0.527673298,1.681572429,2.99817354,1.693474662,3.239087915,1.117983112,0.017301404,0.738144915,0.032456817
30,1.569179514,1.288934149,1.091174317,1.342495098,1.210546479,0.220694588,1.804877605,2.995023358,1.640023751,3.330055325,1.047083144,0.016747166,0.966150965,0.032723053
31,5.850572397,1.701148059,1.091109349,1.531218634,1.218914608,0.404028389,2.60227574,2.781002859,2.369351855,2.914197854,0.387611615,0.016675589,0.33016558,0.03351105
32,5.643751275,1.785710521,1.089949979,1.663149984,1.220287015,0.296317863,2.587180101,2.921051196,2.226475453,2.872336176,0.314210661,0.016902604,0.302182164,0.032248344
33,5.344474044,1.608077433,1.091813586,1.342221593,1.221413499,0.755793242,2.803779562,2.741282125,2.764601099,2.705084154,0.349970713,0.017687097,0.336462235,0.03371702
34,6.291670325,2.153203633,1.091448321,1.706024398,1.19962936,0.610542457,1.997166609,2.961198141,1.899101652,2.912591791,0.913676058,0.016552742,0.53335973,0.032438982
36,3.753694567,1.443049864,1.09063647,1.214270021,1.23965751,0.247345016,2.456501097,2.911719744,2.312209878,2.804410855,0.356624095,0.016677226,0.618872492,0.032212096
37,4.676371477,2.038436913,1.091020039,1.593244494,1.202412052,0.29413552,1.810863967,3.05388421,1.711139775,3.206833973,0.664337719,0.016665501,0.405608458,0.033063024
38,5.088747058,1.840417287,1.090475609,1.485831781,1.217345004,0.523721718,2.318300118,2.761477408,1.755477802,3.230160846,0.747155675,0.016825579,0.451807612,0.032569489
39,1.183369413,1.183749647,1.091280748,1.166789836,1.214615641,0.221117193,2.253936966,2.732003302,2.079495724,3.051611084,0.923302891,0.016916466,0.998950348,0.03289172
40,6.17970498,1.448120567,1.091688831,1.324444191,1.232373031,0.815635449,2.571309733,2.787871391,2.492121384,2.817484519,0.291902603,0.016670091,0.535142608,0.033040439
41,5.520305185,1.509692782,1.09094296,1.363475652,1.206746444,0.211690358,2.43986669,2.98153613,2.132934551,3.123898964,0.687413498,0.016616141,0.990754296,0.032366284
43,6.497679766,1.096098802,1.091889428,1.517600858,1.229572779,0.510023033,2.065105574,2.534959948,1.969929522,2.876119091,0.416884263,0.016546063,0.263560754,0.032441183
44,3.926673852,1.873946332,1.090548924,1.516802275,1.207012048,0.247355954,1.932273482,2.884676823,1.251831269,3.268630998,1.149166575,0.016645925,1.216776218,0.032449402
45,5.827205304,1.548914093,1.09111555,1.388063766,1.198841167,0.351091748,2.596058104,2.286704001,2.561050782,2.700898349,0.313177887,0.017049083,0.595497368,0.03451303
46,6.149790841,1.228320376,1.091042066,1.555390816,1.222437028,0.355836938,2.194177556,2.821662522,1.717174219,3.017090436,0.384554858,0.016451464,0.584897384,0.032736835
47,4.303320731,1.876989009,1.091275798,1.298548196,1.200292291,0.310654589,2.43363214,2.688866926,2.521621826,3.192242698,1.381600357,0.016810888,0.547483958,0.033192597
48,4.038916449,1.624562133,1.090911606,1.396830781,1.213825897,0.24077856,2.333176195,2.96112331,2.15593263,2.948405468,0.637657664,0.016722843,0.429377148,0.032506811
49,4.587978233,1.402267969,1.091030983,1.586897193,1.217218704,0.333160412,2.338798057,2.792003787,2.345005347,3.076428251,0.259905298,0.016644467,0.384341597,0.032723364
50,5.452836742,1.913949108,1.090441507,1.677888827,1.231094901,0.510863799,1.902924085,3.02127528,1.970125922,3.061432962,1.021489466,0.01659346,0.463311883,0.032297051
51,3.965984608,1.413870457,1.091082225,1.405661117,1.215596898,0.203953935,2.488582409,2.919696752,2.292832544,3.000058264,0.431725221,0.016651092,0.409677567,0.032706831
53,5.056125306,1.882363043,1.090791661,1.343733183,1.213240979,0.249033522,2.37792672,2.713813881,1.981090457,3.103510796,0.702511666,0.01682655,0.640330179,0.032533432
