,x
1,1.001237358
2,1.000960639
3,1.00142796
4,1.000942608
5,1.000877121
6,1.001264527
7,1.000743114
8,1.002225861
9,1.000998544
10,1.000704428
11,1.001282602
12,1.001010067
13,1.000588803
14,1.022514749
15,1.001687668
16,1.000815361
17,1.000621011
18,1.000784829
19,1.000858112
20,1.000868069
21,1.000687199
22,1.000764005
23,1.000550998
24,1.000678897
25,1.001126742
26,1.000747485
27,1.000650864
28,1.0006473
30,1.00091855
31,1.000701771
32,1.000416023
33,1.000902974
34,1.002161468
36,1.000739778
37,1.000790736
38,1.000638031
39,1.00074896
40,1.002005325
41,1.000780697
43,1.002061834
44,1.008290609
45,1.001544248
46,1.001396826
47,1.000782664
48,1.000425842
49,1.001323594
50,1.001449143
51,1.000799636
53,1.000602103
54,1.000596365
55,1.00066973
56,1.000772352
57,1.001343426
58,1.000740585
60,1.001681205
61,1.002123234
62,1.000642548
63,1.000719395
64,1.000947526
65,1.000660915
66,1.000761971
67,1.001239256
69,1.000671925
70,1.006283329
hyper,1.056331222
MAX,1.022514749
