,A,B.s1.easy,B.s2.easy,B.s1.hard,B.s2.hard,t0,mean_v.s1.easy.true,mean_v.s2.easy.true,mean_v.s1.hard.true,mean_v.s2.hard.true,mean_v.s1.easy.false,mean_v.s2.easy.false,mean_v.s1.hard.false,mean_v.s2.hard.false
1,3.206417949,1.168587183,1.096905697,1.433631309,1.265325325,0.320256292,2.641120228,3.407476116,2.94602548,3.344220894,0.459244991,0.01353116,0.934085018,0.020600433
2,5.627095377,0.996359729,1.097064017,1.573187289,1.246288011,0.345220088,1.674706061,2.566045292,2.096783117,2.796122491,1.028546321,0.013708799,0.88813963,0.020892242
3,3.574592242,1.537872809,1.096910497,1.33929024,1.284343028,0.289390652,2.395865499,2.818198532,2.733940619,3.457377159,0.460355601,0.013678991,0.604425568,0.020498735
4,0.907414584,0.966502076,1.09694828,1.182981092,1.290411156,0.235488743,2.007931767,2.429242501,2.111063635,2.972176456,0.392092489,0.013907729,0.653696688,0.02132522
5,5.821589835,1.43897467,1.097033836,0.994831222,1.276743051,0.251628015,1.9654608,3.154623076,1.800746595,3.349925673,1.954700092,0.013504305,0.957906319,0.020693437
6,4.667621124,1.668514874,1.09706947,1.05017349,1.403058287,0.511281292,2.24490146,2.570738668,1.995447574,2.870763223,1.074660112,0.013084728,0.3586759,0.020801437
7,3.961488638,1.432090833,1.097176781,1.359344415,1.123020664,0.021101185,1.518656466,2.908237916,1.755176136,3.081336064,1.422287593,0.014046849,0.964507144,0.020284993
8,6.59041816,1.129291583,1.097126836,0.925685509,1.34462072,0.498511455,1.650059993,2.290859459,2.0372589,2.307334236,1.059171585,0.012934361,1.182449329,0.020554828
9,2.624988565,2.132842132,1.096860506,1.873204461,1.308106649,0.361209399,2.659082301,2.607284693,2.23283096,2.821467894,0.515267104,0.014166966,0.346572883,0.020950496
10,4.126719769,1.59451879,1.09692016,1.460951456,1.257411944,0.375858136,2.513212124,3.081489235,2.81122012,3.123027135,0.595235364,0.013576373,0.482141623,0.020720905
11,6.351576527,1.928979837,1.096986922,1.977094263,1.27654722,0.333854609,2.205890072,2.996161001,2.093376607,3.051887736,0.816698765,0.012837691,1.253914251,0.020384204
12,3.524967135,1.711661466,1.097003074,1.839992973,1.21234778,0.303349617,2.266314396,3.084863555,1.932745388,3.219634258,0.283175811,0.013007628,0.45341367,0.020720157
13,4.192820253,1.409898964,1.096931328,1.059902185,1.301309049,0.259002811,2.10809775,3.278515055,1.949793508,3.070414294,0.600862909,0.013960619,0.948624004,0.020622424
14,4.724925464,1.439867863,1.096755618,1.584725511,1.237623606,0.370513536,2.165297344,3.24342468,1.70878231,3.590233149,0.844114039,0.013613801,0.970219194,0.020571345
15,6.442220301,1.477792289,1.096981426,1.081477873,1.31816756,0.313226481,2.488696893,3.008604907,2.335580902,2.96991415,0.484317546,0.013467363,0.572086314,0.020413196
16,4.618056478,1.231429981,1.096960673,0.821232602,1.333943766,0.247850188,2.178577643,3.263583034,2.019801085,3.178187518,0.826743512,0.013405528,0.575968425,0.02057451
17,4.219978824,2.057354713,1.096874399,1.707942493,1.298028146,0.322728888,2.038732826,3.110201196,2.004433378,3.163916856,0.817974564,0.013592198,1.187761671,0.020284534
18,1.649433002,1.663534784,1.096843327,1.258624281,1.28578447,0.291991557,3.043905795,3.00644461,2.165555975,3.491871779,0.636813619,0.014661576,0.870752209,0.020534972
19,3.84585953,1.201023723,1.096880067,1.322483756,1.383200207,0.259649488,3.543794681,2.93886832,2.923858406,3.339009409,0.299965128,0.014823722,0.312102317,0.020697191
20,6.124205538,1.892928987,1.096902125,1.553552189,1.304284089,0.330023971,2.461467389,2.838595924,2.142740464,3.381122667,0.811108292,0.013079334,0.67816147,0.020509394
21,4.646482609,1.503755951,1.096923829,1.775678158,1.248360129,0.316630971,2.509267066,2.995130735,2.687726917,3.342236949,0.496754071,0.013720384,0.500182725,0.020468805
22,1.625350969,1.750958334,1.096974644,1.278798086,1.232709803,0.203344928,1.992258636,2.816174176,1.783985117,3.364462865,1.439017229,0.013514037,0.738480431,0.02056032
23,4.53951987,1.799491329,1.096941806,1.663465616,1.371294276,0.410530159,2.643304622,3.201296443,2.687942691,3.207824326,0.794295234,0.013320596,0.323715248,0.020440571
24,6.120156335,1.453554202,1.097018063,1.781744395,1.438875396,0.436228869,2.873350855,2.531582446,2.886171729,2.918729028,0.191853924,0.014147803,0.285499717,0.020553734
25,3.017511631,2.200156223,1.097247784,1.923018063,1.0878577,0.076233252,2.428864539,3.076931212,2.158870098,3.133407519,1.384669388,0.01347806,1.13154316,0.020543896
26,3.935163878,1.204110798,1.097032264,1.457498927,1.259374704,0.285811095,2.490055427,3.112660758,2.658852251,3.461420457,0.571953658,0.013222768,0.526843698,0.020680593
27,5.266556405,1.752101532,1.096923755,1.605167219,1.338625569,0.288180095,1.978305731,3.092629835,1.636207789,3.602319381,1.27939485,0.012910392,1.142402714,0.020602789
28,5.340004342,1.297577575,1.097088488,2.003716783,1.304857725,0.558954027,1.478400344,3.285481942,1.708282918,3.653629369,1.115761132,0.01326886,1.087750523,0.020476139
30,1.534672536,1.185526397,1.097108148,1.314557023,1.199790896,0.240439346,1.483582877,3.313968411,1.784639989,3.541842703,1.081130259,0.01353713,1.023602548,0.020530246
